;used;doi;logic;replace on DOI
25;ANDRADE A 2004 AQUA;;FALSO;
26;ANKER ARTHUR 2013 ;;FALSO;
27;ARAUJO GS 2020  ZOOL J LINN SOC;;FALSO;
28;ARAUJO ME 2020 MAR ENVIRON RES;;FALSO;
29;ARAUJO PAULO VICTOR DO NASCIMENTO 2016 ;;FALSO;
30;AREIAS C 2020 MAR GEOL;;FALSO;
31;ARMESTO 2012 AQUA;;FALSO;
32;BAHR A 2020 BIOGEOSCIENCES;;FALSO;
33;BANHA TNS 2019 CORAL REEFS;;FALSO;
34;BARBOSA-FILHO MLV 2020 HUMAN ECOL;;FALSO;
35;BARBOSA SULAMITA OLIVEIRA 2008 ;;FALSO;
36;BARBOZA CADM 2015 MARINE BIODIVERSITY RECORDS;BARBOZA CADM 2015 ;FALSO;BARBOZA CADM 2015 MARINE BIODIVERSITY RECORDS
37;BARRADAS JI 2010 BIOTEMAS;;FALSO;
38;BARROS F 2020 MAR POLLUT BULL;;FALSO;
39;BARROS MML 2000;;FALSO;
40;BARROS MONICA MORAES LINS DE 2006 ;;FALSO;
41;BARROS MSF 2020 MAR POLLUT BULL;;FALSO;
42;BATISTA H 2012 CHECKLIST;;FALSO;
43;BENDER MG 2012 END SPECIES RES;;FALSO;
44;BENDER MG 2013 GLOB ECOL BIOGEOG;;FALSO;
